title,company,location,date_posted,job_link,description,seniority_level,employment_type,job_function,industries,applicants,company_url,time_posted,company_size,founded,type,industry,headquarters
Graduate Mechanical Engineer,Worley,"Edmonton, Alberta, Canada",1 week ago,https://ca.linkedin.com/jobs/view/graduate-mechanical-engineer-at-worley-4023117333?position=38&pageNum=0&refId=NI6ffnBlWZjw47uSX%2FyDJA%3D%3D&trackingId=crzz38R6PoZnwiniEAO5JA%3D%3D,,,,,,,,,,,,,
January 2025 Co-op Student Opportunities (Non-Engineering Degree),City of Edmonton,"Edmonton, Alberta, Canada",3 weeks ago,https://ca.linkedin.com/jobs/view/january-2025-co-op-student-opportunities-non-engineering-degree-at-city-of-edmonton-4014923373?position=39&pageNum=0&refId=NI6ffnBlWZjw47uSX%2FyDJA%3D%3D&trackingId=hg3gnSngM393WyknI8UpVw%3D%3D,,,,,,,,,,,,,
"Student Project Coordinator (Calgary, Edmonton)",Bird Construction,"Edmonton, Alberta, Canada",1 week ago,https://ca.linkedin.com/jobs/view/student-project-coordinator-calgary-edmonton-at-bird-construction-4028883135?position=40&pageNum=0&refId=NI6ffnBlWZjw47uSX%2FyDJA%3D%3D&trackingId=qR8%2BsFhn%2BREMK0tZHfy3Dw%3D%3D,,,,,,,,,,,,,
Student Supply Chain Coordinator (Edmonton),Bird Construction,"Edmonton, Alberta, Canada",5 days ago,https://ca.linkedin.com/jobs/view/student-supply-chain-coordinator-edmonton-at-bird-construction-4030447157?position=41&pageNum=0&refId=NI6ffnBlWZjw47uSX%2FyDJA%3D%3D&trackingId=b7d5wcIOEG9atOuxfNeKxQ%3D%3D,,,,,,,,,,,,,
Environmental Engineering/Science Student Intern,ATCO Electric,"Edmonton, Alberta, Canada",1 week ago,https://ca.linkedin.com/jobs/view/environmental-engineering-science-student-intern-at-atco-electric-4023237537?position=42&pageNum=0&refId=NI6ffnBlWZjw47uSX%2FyDJA%3D%3D&trackingId=qnDNSP9u%2ByGxmRnAq0GUHA%3D%3D,,,,,,,,,,,,,
Student Quality Coordinator,Bird Construction,"Edmonton, Alberta, Canada",4 days ago,https://ca.linkedin.com/jobs/view/student-quality-coordinator-at-bird-construction-4031426455?position=43&pageNum=0&refId=NI6ffnBlWZjw47uSX%2FyDJA%3D%3D&trackingId=WOs%2BRp%2Fq8aE3dcv29YIGLw%3D%3D,,,,,,,,,,,,,
Electronics/Optics Hardware Design Intern,AllSeeing,"Edmonton, Alberta, Canada",5 hours ago,https://ca.linkedin.com/jobs/view/electronics-optics-hardware-design-intern-at-allseeing-4033369555?position=44&pageNum=0&refId=NI6ffnBlWZjw47uSX%2FyDJA%3D%3D&trackingId=6pm4Hl5p5agyv41nWKyBLw%3D%3D,,,,,,,,,,,,,
Researcher - Machine Learning,Huawei Canada,"Edmonton, Alberta, Canada",3 months ago,https://ca.linkedin.com/jobs/view/researcher-machine-learning-at-huawei-canada-3956153895?position=45&pageNum=0&refId=NI6ffnBlWZjw47uSX%2FyDJA%3D%3D&trackingId=t4aF42PatNUL2AXVQtxuGA%3D%3D,,,,,,,,,,,,,
Corporate Fund Development Coordinator,CAREERS,"Edmonton, Alberta, Canada",1 week ago,https://ca.linkedin.com/jobs/view/corporate-fund-development-coordinator-at-careers-4026070361?position=46&pageNum=0&refId=NI6ffnBlWZjw47uSX%2FyDJA%3D%3D&trackingId=Rk7TEyXDg3ywpOZyR88Zdg%3D%3D,,,,,,,,,,,,,
Retail Field Intern - Agronomy Assistant,Nutrien,"Sherwood Park, Alberta, Canada",2 weeks ago,https://ca.linkedin.com/jobs/view/retail-field-intern-agronomy-assistant-at-nutrien-4018469246?position=47&pageNum=0&refId=NI6ffnBlWZjw47uSX%2FyDJA%3D%3D&trackingId=RkjzT3kFhtAdk8dGjVePpw%3D%3D,,,,,,,,,,,,,
Retail Merchandiser,Neptune Retail Solutions,"Edmonton, Alberta, Canada",4 days ago,https://ca.linkedin.com/jobs/view/retail-merchandiser-at-neptune-retail-solutions-4031177377?position=48&pageNum=0&refId=NI6ffnBlWZjw47uSX%2FyDJA%3D%3D&trackingId=hmrEG%2B%2FKdeDcrAlvBAzz3g%3D%3D,,,,,,,,,,,,,
"Health, Safety, and Environment Student",PCL Construction,"Edmonton, Alberta, Canada",3 weeks ago,https://ca.linkedin.com/jobs/view/health-safety-and-environment-student-at-pcl-construction-4017619826?position=49&pageNum=0&refId=NI6ffnBlWZjw47uSX%2FyDJA%3D%3D&trackingId=4RNAL3mRIQRYTqH4OOcVHQ%3D%3D,,,,,,,,,,,,,
MNF Development Program Prof,Owens Corning,"Edmonton, Alberta, Canada",1 week ago,https://ca.linkedin.com/jobs/view/mnf-development-program-prof-at-owens-corning-4011701719?position=50&pageNum=0&refId=NI6ffnBlWZjw47uSX%2FyDJA%3D%3D&trackingId=T8RBqFHVVpudoS9dabqdWg%3D%3D,,,,,,,,,,,,,
Technical Agronomy Internship,BASF,"Calmar, Alberta, Canada",3 weeks ago,https://ca.linkedin.com/jobs/view/technical-agronomy-internship-at-basf-4015269783?position=51&pageNum=0&refId=NI6ffnBlWZjw47uSX%2FyDJA%3D%3D&trackingId=Gr2eK%2FutendVo2SWMkNEcw%3D%3D,,,,,,,,,,,,,
Marketing Jr assistant,,"Edmonton, Alberta, Canada",6 days ago,https://ca.linkedin.com/jobs/view/trainee-piping-designer-at-worley-4023116566?position=53&pageNum=0&refId=NI6ffnBlWZjw47uSX%2FyDJA%3D%3D&trackingId=L5Gd21RE8qmm7gSrdlytqQ%3D%3D,,,,,,,,,,,,,
Trainee Piping Designer,Worley,"Edmonton, Alberta, Canada",1 week ago,https://ca.linkedin.com/jobs/view/psychologist-%E2%80%93-ph-d-at-wcb-alberta-3996451180?position=54&pageNum=0&refId=NI6ffnBlWZjw47uSX%2FyDJA%3D%3D&trackingId=CtA2JWb3i10W3bBPO4HsvA%3D%3D,,,,,,,,,,,,,
Psychologist – Ph.D.,WCB-Alberta,"Edmonton, Alberta, Canada",3 weeks ago,https://ca.linkedin.com/jobs/view/business-analyst-at-guardian-chemicals-inc-4012058377?position=55&pageNum=0&refId=NI6ffnBlWZjw47uSX%2FyDJA%3D%3D&trackingId=QGw9EACA4AErhnFJxoOzUA%3D%3D,,,,,,,,,,,,,
Business Analyst,Guardian Chemicals Inc.,"Edmonton, Alberta, Canada",3 weeks ago,https://ca.linkedin.com/jobs/view/intern-researcher-ai-at-huawei-canada-3954183536?position=56&pageNum=0&refId=NI6ffnBlWZjw47uSX%2FyDJA%3D%3D&trackingId=I%2B4%2BNhnhaf7b0pXF2sGjIg%3D%3D,,,,,,,,,,,,,
Intern Researcher - AI,Huawei Canada,"Edmonton, Alberta, Canada",3 months ago,https://ca.linkedin.com/jobs/view/2025-co-op-student-supervisor-edmonton-pdc-at-general-motors-4024769059?position=57&pageNum=0&refId=NI6ffnBlWZjw47uSX%2FyDJA%3D%3D&trackingId=4Cdh7ITi6aWCIDcj%2F3wNmQ%3D%3D,,,,,,,,,,,,,
"2025 Co-Op - Student Supervisor, Edmonton PDC",General Motors,"Edmonton, Alberta, Canada",1 week ago,https://ca.linkedin.com/jobs/view/business-systems-analyst-student-at-pcl-construction-4017072883?position=58&pageNum=0&refId=NI6ffnBlWZjw47uSX%2FyDJA%3D%3D&trackingId=y%2FSc3h%2BCveJ%2FIWFrcwU6bw%3D%3D,,,,,,,,,,,,,
Business Systems Analyst Student,PCL Construction,"Edmonton, Alberta, Canada",3 weeks ago,https://ca.linkedin.com/jobs/view/commercial-executive-at-microsoft-4029677326?position=59&pageNum=0&refId=NI6ffnBlWZjw47uSX%2FyDJA%3D%3D&trackingId=lIDWPr1LPG4U0sXSHtUjcw%3D%3D,,,,,,,,,,,,,
Commercial Executive,Microsoft,"Edmonton, Alberta, Canada",6 days ago,https://ca.linkedin.com/jobs/view/advisor-internship-program-aip-calgary-edmonton-saskatoon-at-raymond-james-ltd-4016997182?position=60&pageNum=0&refId=NI6ffnBlWZjw47uSX%2FyDJA%3D%3D&trackingId=yF2UKgcXpKI%2BYZYGLe1jPQ%3D%3D,,,,,,,,,,,,,
Advisor Internship Program (AIP) (Calgary/Edmonton/Saskatoon),Raymond James Ltd.,"Edmonton, Alberta, Canada",11 hours ago,,,,,,,,,,,,,,
Supervisor,Alberta Health Services,"Edmonton, Alberta, Canada",6 days ago,https://ca.linkedin.com/jobs/view/supervisor-at-alberta-health-services-4028415619?position=1&pageNum=6&refId=WVl6W7FRH3VoHWWR35091g%3D%3D&trackingId=2eikyylREpbuObK5nFyf3g%3D%3D,,,,,,,,,,,,,
Cloud Services - Operations Lead,BDO Canada,"Edmonton, Alberta, Canada",1 month ago,https://ca.linkedin.com/jobs/view/cloud-services-operations-lead-at-bdo-canada-4007332234?position=2&pageNum=6&refId=WVl6W7FRH3VoHWWR35091g%3D%3D&trackingId=zArBbQ0ASMGD76H88OYqZQ%3D%3D,,,,,,,,,,,,,
Psychologist - Master's Level,WCB-Alberta,"Edmonton, Alberta, Canada",1 week ago,https://ca.linkedin.com/jobs/view/psychologist-master-s-level-at-wcb-alberta-4026024177?position=3&pageNum=6&refId=WVl6W7FRH3VoHWWR35091g%3D%3D&trackingId=tCPgJUYceI9GCNXR%2F4a1sQ%3D%3D,,,,,,,,,,,,,
Veterinary Extern - General Practice,NVA Canada,"Sherwood Park, Alberta, Canada",1 week ago,https://ca.linkedin.com/jobs/view/veterinary-extern-general-practice-at-nva-canada-3877165420?position=4&pageNum=6&refId=WVl6W7FRH3VoHWWR35091g%3D%3D&trackingId=oXixZwry7EEq%2BgWTGwjQZg%3D%3D,,,,,,,,,,,,,
"Veterinary Medical Director, Guardian Veterinary Centre",VCA Animal Hospitals,"Edmonton, Alberta, Canada",4 hours ago,https://ca.linkedin.com/jobs/view/veterinary-medical-director-guardian-veterinary-centre-at-vca-animal-hospitals-4033389014?position=5&pageNum=6&refId=WVl6W7FRH3VoHWWR35091g%3D%3D&trackingId=sc6sGdDEY3wTlRLdcYMsqw%3D%3D,,,,,,,,,,,,,
